luohuqu,满五年红本，朝南4房，有钥匙随时可看,448,畔山花园-莲塘,,568元/平,4室2厅,116.16平米,南,简装,中楼层(共8层),1996年建,板楼,,,,,,
luohuqu,百仕达花园一期 3室2厅 南,629,百仕达花园一期-百仕达,,600元/平,3室2厅,100.41平米,南,精装,低楼层(共9层),1997年建,板楼,,,,,,
luohuqu,红本，满五唯一，装修漂亮，朝南，业主诚心出售,278,置地逸轩-春风路,,263元/平,1室1厅,46.91平米,南,精装,低楼层(共33层),2005年建,板塔结合,,,,,,
luohuqu,庐山花园 1室1厅 东南,167,庐山花园-罗湖口岸,,700元/平,1室1厅,45.31平米,东南,其他,高楼层(共27层),1996年建,塔楼,,,,,,
luohuqu,红本在手，满五唯一，诚心出售，看房方便,208,南洋大厦-春风路,,900元/平,3室1厅,50.8平米,北,|,|,|,|,,,,,,
luohuqu,近口岸 置地双阳台漂亮 一房  价格可谈,222,置地逸轩-春风路,,330元/平,1室1厅,43.25平米,北,精装,中楼层(共33层),2005年建,板塔结合,,,,,,
luohuqu,置地逸轩 高层 朝南 正规二房   近罗湖口岸 双地铁,320,置地逸轩-春风路,,300元/平,2室1厅,53.89平米,南,简装,高楼层(共33层),2005年建,板塔结合,,,,,,
luohuqu,满五唯一，精装修，楼层好，采光通风好,342,云峰花园-春风路,,600元/平,3室1厅,88.6平米,南,精装,33层,1997年建,塔楼,,,,,,
luohuqu,海关一院 优质2房 罗湖口岸 后花园 满五年唯一 红本,232,海关宿舍一院-罗湖口岸,,000元/平,3室1厅,55.11平米,南,简装,高楼层(共6层),1981年建,板塔结合,,,,,,
luohuqu,怡景花园 三房急卖 漂亮装修 户型好 楼层佳 看房方便,401,怡景花园-桂花村-黄贝岭,,000元/平,3室1厅,61.62平米,东南,精装,6层,1986年建,板塔结合,,,,,,
luohuqu,南向，双套房安静看翠竹山全景，过五年，现房图片。,1235,百仕达乐湖-百仕达,,500元/平,4室2厅,180.27平米,南,精装,高楼层(共34层),2008年建,塔楼,,,,,,
luohuqu,地铁9号线的物业，南北通透大三房，满五年唯一。,338,宝丰大厦罗湖区-春风路,,815元/平,3室1厅,106.24平米,南,|,|,|,|,,,,,,
